Age,Accessibility,EdLevel,Employment,MentalHealth,MainBranch,YearsCode,PreviousSalary,ComputerSkills,Employed,Man,NonBinary,Woman,Asia,Australia,Europe,NorthAmerica,Others,South America
0,0,2,1,1,1,9,71093.0,24,1,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,8,42756.0,4,0,1,0,0,0,0,0,0,1,0
0,0,2,1,0,1,8,150000.0,11,1,1,0,0,0,0,0,1,0,0
1,0,2,1,1,1,21,65000.0,13,1,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,18,25944.0,11,1,1,0,0,0,0,1,0,0,0
1,0,4,1,0,0,25,64859.0,6,0,1,0,0,0,0,1,0,0,0
1,0,2,1,0,1,20,48644.0,6,0,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,10,35672.0,10,0,1,0,0,0,0,1,0,0,0
0,0,3,1,0,1,12,64860.0,8,0,1,0,0,0,0,1,0,0,0
0,0,2,1,1,1,10,59454.0,8,0,1,0,0,0,0,1,0,0,0
0,0,3,1,0,1,12,45396.0,10,1,1,0,0,0,0,1,0,0,0
1,1,2,0,1,1,28,19452.0,17,1,1,0,0,0,0,1,0,0,0
0,0,2,1,1,1,3,22212.0,29,1,0,0,1,0,0,0,0,1,0
0,0,2,1,0,1,18,60000.0,29,1,1,0,0,0,0,0,0,1,0
1,0,4,1,0,1,39,110000.0,5,0,1,0,0,0,0,0,1,0,0
0,0,2,1,0,1,15,53832.0,14,1,1,0,0,0,0,0,0,1,0
0,0,3,1,0,1,7,18080.0,18,1,1,0,0,0,0,0,0,1,0
0,0,2,1,0,1,11,31128.0,11,0,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,16,96204.0,26,1,1,0,0,0,0,0,0,0,1
0,0,2,1,0,1,6,5448.0,9,0,1,0,0,1,0,0,0,0,0
0,0,3,1,0,1,15,88640.0,17,0,1,0,0,0,0,1,0,0,0
0,0,1,1,0,1,6,20539.0,18,1,1,0,0,0,0,1,0,0,0
1,0,4,1,0,1,30,49765.0,3,0,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,14,57765.0,7,0,1,0,0,0,0,0,1,0,0
0,0,2,1,0,1,6,40000.0,6,0,1,0,0,0,0,0,1,0,0
0,0,0,1,0,1,6,37440.0,12,0,1,0,0,0,0,0,1,0,0
0,0,2,0,0,1,3,11724.0,16,1,1,0,0,1,0,0,0,0,0
1,0,2,1,0,1,20,111814.0,11,0,1,0,0,0,0,1,0,0,0
0,0,3,1,0,1,5,133000.0,11,0,1,0,0,0,0,0,1,0,0
1,0,1,1,0,1,23,69183.0,8,1,1,0,0,0,0,1,0,0,0
0,0,2,1,1,1,20,64737.0,8,0,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,13,47563.0,9,0,1,0,0,0,0,1,0,0,0
1,0,2,1,0,1,16,118908.0,12,0,1,0,0,0,0,1,0,0,0
0,0,3,1,0,1,12,69183.0,14,1,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,10,29320.0,23,1,1,0,0,1,0,0,0,0,0
1,0,2,1,0,1,22,70264.0,14,0,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,1,4008.0,4,0,0,0,1,0,0,0,0,1,0
0,0,3,1,0,0,12,150000.0,10,0,0,1,0,0,0,0,1,0,0
1,0,3,1,1,1,22,64859.0,17,1,1,0,0,0,0,1,0,0,0
1,0,3,1,0,1,30,59454.0,14,1,1,0,0,0,0,1,0,0,0
1,0,1,0,0,1,20,78750.0,6,0,0,0,1,0,0,0,1,0,0
0,0,3,1,1,0,13,36753.0,11,0,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,3,6981.0,5,0,1,0,0,1,0,0,0,0,0
1,0,2,1,0,0,25,125000.0,13,1,1,0,0,0,0,0,1,0,0
0,0,2,1,0,1,17,63854.0,5,0,1,0,0,0,0,1,0,0,0
1,0,1,1,1,1,14,123984.0,17,1,1,0,0,1,0,0,0,0,0
0,0,1,1,0,1,13,25944.0,11,0,1,0,0,0,0,1,0,0,0
0,0,1,0,0,1,4,2508.0,20,1,1,0,0,1,0,0,0,0,0
0,0,3,1,1,0,13,46482.0,15,0,1,0,0,0,0,1,0,0,0
0,0,3,1,0,1,9,7788.0,13,1,1,0,0,1,0,0,0,0,0
0,0,1,0,0,1,8,72000.0,12,1,1,0,0,0,0,0,1,0,0
1,0,1,0,0,1,34,152473.0,11,1,1,0,0,0,0,1,0,0,0
0,0,3,1,0,1,3,35672.0,2,0,1,0,0,0,0,1,0,0,0
0,0,3,0,0,1,12,85908.0,20,1,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,9,27144.0,15,1,1,0,0,0,0,0,0,1,0
0,0,2,1,1,1,4,8376.0,12,0,1,0,0,1,0,0,0,0,0
0,0,2,1,1,1,11,86478.0,19,1,1,0,0,0,0,1,0,0,0
0,0,1,0,0,1,13,45564.0,21,1,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,16,134028.0,2,0,1,0,0,1,0,0,0,0,0
0,1,3,0,0,1,17,36708.0,9,1,1,0,0,0,0,1,0,0,0
1,0,0,1,0,1,21,54049.0,18,1,1,0,0,0,0,1,0,0,0
1,0,3,1,1,0,27,56211.0,4,0,1,0,0,0,0,1,0,0,0
0,0,3,1,0,1,13,60744.0,17,1,1,0,0,0,0,1,0,0,0
0,0,2,0,0,1,8,5208.0,20,1,1,0,0,0,0,0,0,0,1
1,0,2,1,0,1,36,183767.0,8,0,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,11,25128.0,25,1,1,0,0,1,0,0,0,0,0
0,0,2,1,1,1,17,49725.0,18,1,1,0,0,0,0,0,0,1,0
0,0,1,1,0,1,13,36324.0,16,1,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,3,82000.0,11,0,1,0,0,0,0,0,1,0,0
0,0,4,1,0,1,12,105000.0,3,0,1,0,0,0,0,0,1,0,0
0,0,1,1,0,1,25,59454.0,27,1,1,0,0,0,0,1,0,0,0
0,0,1,1,0,1,4,28437.0,12,0,1,0,0,0,0,1,0,0,0
0,0,1,1,0,1,4,41004.0,9,1,1,0,0,0,0,1,0,0,0
1,0,2,1,0,0,25,101612.0,11,0,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,15,135000.0,14,1,1,0,0,0,0,0,1,0,0
0,0,2,1,0,1,6,31332.0,6,0,1,0,0,1,0,0,0,0,0
0,0,2,1,0,1,10,50806.0,14,1,1,0,0,0,0,1,0,0,0
0,0,1,1,0,1,6,41077.0,12,0,1,0,0,0,0,1,0,0,0
